segment,idx,rho_kpc,inc_deg,alpha_deg,h5
seg1,0,149.99999999999997,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0000_r150.00_i023.00_a000.00.h5
seg1,1,149.92349076416642,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0001_r149.92_i023.00_a000.00.h5
seg1,2,149.69548340677875,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0002_r149.70_i023.00_a000.00.h5
seg1,3,149.31859370029673,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0003_r149.32_i023.00_a000.00.h5
seg1,4,148.7958659408676,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0004_r148.80_i023.00_a000.00.h5
seg1,5,148.13074844536197,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0005_r148.13_i023.00_a000.00.h5
seg1,6,147.3270675516528,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0006_r147.33_i023.00_a000.00.h5
seg1,7,146.3890003550784,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0007_r146.39_i023.00_a000.00.h5
seg1,8,145.3210464145054,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0008_r145.32_i023.00_a000.00.h5
seg1,9,144.1279986596793,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0009_r144.13_i023.00_a000.00.h5
seg1,10,142.8149137277435,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0010_r142.81_i023.00_a000.00.h5
seg1,11,141.38708195105917,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0011_r141.39_i023.00_a000.00.h5
seg1,12,139.84999721096005,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0012_r139.85_i023.00_a000.00.h5
seg1,13,138.20932686298013,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0013_r138.21_i023.00_a000.00.h5
seg1,14,136.47088192859172,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0014_r136.47_i023.00_a000.00.h5
seg1,15,134.64058773678533,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0015_r134.64_i023.00_a000.00.h5
seg1,16,132.7244551860814,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0016_r132.72_i023.00_a000.00.h5
seg1,17,130.72855278400561,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0017_r130.73_i023.00_a000.00.h5
seg1,18,128.65897960685078,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0018_r128.66_i023.00_a000.00.h5
seg1,19,126.52183930788856,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0019_r126.52_i023.00_a000.00.h5
seg1,20,124.32321528725178,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0020_r124.32_i023.00_a000.00.h5
seg1,21,122.06914712165965,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0021_r122.07_i023.00_a000.00.h5
seg1,22,119.76560833715293,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0022_r119.77_i023.00_a000.00.h5
seg1,23,117.4184855931989,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0023_r117.42_i023.00_a000.00.h5
seg1,24,115.03355933204823,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0024_r115.03_i023.00_a000.00.h5
seg1,25,112.61648593319872,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0025_r112.62_i023.00_a000.00.h5
seg1,26,110.1727813993446,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0026_r110.17_i023.00_a000.00.h5
seg1,27,107.70780658738377,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0027_r107.71_i023.00_a000.00.h5
seg1,28,105.22675398595477,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0028_r105.23_i023.00_a000.00.h5
seg1,29,102.73463602969173,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0029_r102.73_i023.00_a000.00.h5
seg1,30,100.23627492993906,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0030_r100.24_i023.00_a000.00.h5
seg1,31,97.73629399210938,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0031_r097.74_i023.00_a000.00.h5
seg1,32,95.23911038122603,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0032_r095.24_i023.00_a000.00.h5
seg1,33,92.7489292894669,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0033_r092.75_i023.00_a000.00.h5
seg1,34,90.26973945274383,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0034_r090.27_i023.00_a000.00.h5
seg1,35,87.80530995747992,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0035_r087.81_i023.00_a000.00.h5
seg1,36,85.35918827378975,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0036_r085.36_i023.00_a000.00.h5
seg1,37,82.93469944718608,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0037_r082.93_i023.00_a000.00.h5
seg1,38,80.53494637771044,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0038_r080.53_i023.00_a000.00.h5
seg1,39,78.1628111129686,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0039_r078.16_i023.00_a000.00.h5
seg1,40,75.82095707990274,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0040_r075.82_i023.00_a000.00.h5
seg1,41,73.51183217921083,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0041_r073.51_i023.00_a000.00.h5
seg1,42,71.23767266606639,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0042_r071.24_i023.00_a000.00.h5
seg1,43,69.00050774115776,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0043_r069.00_i023.00_a000.00.h5
seg1,44,66.80216477699486,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0044_r066.80_i023.00_a000.00.h5
